estimate,mean,lower,upper,p.value,k,analysis
"Overall
Effect",0.580659201309613,0.3560873805941019,0.8052310220251242,0,429,Intercept only
"Race/
Ethnicity",0.39946679981636735,0.2135419203753915,0.5853916792573433,0,206,Marginalized group
"Socioeconomic
Status",0.7106209444177867,0.5248061456789053,0.8964357431566681,0,223,Marginalized group
Asian,0.08825461154076951,-0.12467603275742907,0.3011852558389681,0.4166,18,Group proxy
Black,0.286124344553027,0.08813739378282848,0.4841112953232255,0.0046,61,Group proxy
Education,0.7309708827483893,0.5338229586063623,0.9281188068904163,0,39,Group proxy
Housing,0.8177217864779549,0.62074729533185935,1.0146962776240505,0,49,Group proxy
Immigrants,0.7798739088921592,0.5784452433380521,0.9813025744462663,0,22,Group proxy
Income,0.7024805749999508,0.5060865580268379,0.8988745919730636,0,119,Group proxy
Indigenous,0.36797660607522475,0.15945722567358445,0.5764959864768651,5e-4,12,Group proxy
Latinx,0.3279619792685392,0.12959050522657337,0.5263334533105051,0.0012,68,Group proxy
Mixed_race,0.39188348168693793,0.19417419274156672,0.5895927706323092,1e-4,25,Group proxy
Unhoused,1.0076226852109194,0.4454636700086163,1.5697817004132224,4e-4,16,Group proxy
Disease Risk,0.42725766541935895,0.13652871552218726,0.7179866153165306,0.004,51,Risk group
Exposure Risk,0.7749419295421613,0.4961775448400816,1.053706314244241,0,123,Risk group
Infection Risk,0.4639473634126281,0.21857878516739895,0.7093159416578573,2e-4,255,Risk group
Lice/flea,0.8215855369510748,0.39579169837201117,1.2473793755301386,2e-4,36,Transmission
Mosquito,0.6684158246383672,0.4106736580077423,0.9261579912689921,0,134,Transmission
Tick,0.15578965422970104,-0.19135452740466902,0.5029338358640711,0.3791,88,Transmission
Zoonotic,0.6177577409707399,0.3494459756314584,0.8860695063100213,0,171,Transmission
Canada,0.1830995216753347,-0.6381155373027164,1.0043145806533857,0.6621,10,Country
Europe,0.8334200820609958,0.36882206350203306,1.2980181006199585,4e-4,41,Country
USA,0.5714680236488123,0.33997889320665575,0.8029571540909689,0,378,Country
Local,0.9135943740457291,0.6151251354560734,1.2120636126353848,0,94,Scale
National,0.38010007808228574,0.0836660349506737,0.6765341212138978,0.012,155,Scale
Regional,0.4701415258209122,0.20265355602111906,0.7376294956207052,6e-4,180,Scale
"Directly
Sampled",0.8664783040993866,0.6001798601982093,1.132776748000564,0,134,Data source
"Secondary-
Source",0.3756560923346209,0.11900197108083366,0.6323102135884081,0.0041,232,Data source
Survey,0.41083262608932636,0.02892162084390748,0.7927436313347452,0.035,63,Data source
Asian:lice_flea,0.5766307884769032,-0.19117484993600298,1.3444364268898092,0.141,1,Group proxy : Transmission
Asian:mosquito,-0.15393214565140723,-0.4469860992855138,0.13912180798269935,0.3032,2,Group proxy : Transmission
Asian:tick,-0.5952212891333418,-1.1803733734845256,-0.010069204782158003,0.0462,7,Group proxy : Transmission
Asian:zoonotic,0.6527676579805038,0.33309855842072417,0.9724367575402835,1e-4,8,Group proxy : Transmission
Black:lice_flea,0.8769367033794928,0.18417340228579393,1.5697000044731917,0.0131,4,Group proxy : Transmission
Black:mosquito,0.21238675361966142,-0.06322938958744473,0.48800289682676756,0.131,14,Group proxy : Transmission
Black:tick,0.26892498213377486,-0.1120637826029875,0.6499137468705372,0.1665,16,Group proxy : Transmission
Black:zoonotic,0.3690261121785283,0.08401153386072846,0.6540406904963282,0.0112,27,Group proxy : Transmission
Education:mosquito,1.1171072266175304,0.8334128328450159,1.4008016203900449,0,12,Group proxy : Transmission
Education:tick,0.47296060180903676,0.09870034355810253,0.847220860059971,0.0133,6,Group proxy : Transmission
Education:zoonotic,0.7660242942300792,0.4797950715368368,1.0522535169233216,0,21,Group proxy : Transmission
Housing:lice_flea,0.8390785871321864,0.23347491172125956,1.4446822625431133,0.0066,12,Group proxy : Transmission
Housing:mosquito,0.7261081698974237,0.45427513058804697,0.9979412092068003,0,26,Group proxy : Transmission
Housing:tick,0.6265890786120658,0.2522399703375929,1.0009381868865388,0.001,4,Group proxy : Transmission
Housing:zoonotic,1.9452456008657935,1.6346142735029707,2.255876928228616,0,7,Group proxy : Transmission
Immigrants:mosquito,0.8064855983051387,-0.08702228688639546,1.6999934834966728,0.0769,4,Group proxy : Transmission
Immigrants:tick,1.046060489710833,0.1816791428053801,1.9104418366162859,0.0177,3,Group proxy : Transmission
Immigrants:zoonotic,0.7903532212507236,0.5037413036282955,1.0769651388731516,0,15,Group proxy : Transmission
Income:lice_flea,1.4276181565437123,0.7989977623822991,2.0562385507051255,0,7,Group proxy : Transmission
Income:mosquito,0.7160022370905443,0.4456582611666443,0.9863462130144444,0,46,Group proxy : Transmission
Income:tick,0.5358184466924582,0.16197212538519667,0.9096647679997196,0.005,13,Group proxy : Transmission
Income:zoonotic,0.548810988292444,0.2649485453670373,0.8326734312178508,2e-4,53,Group proxy : Transmission
Indigenous:mosquito,0.3590720698202037,0.0783972741618631,0.6397468654785443,0.0122,7,Group proxy : Transmission
Indigenous:tick,-0.6016410185079543,-1.3358881127528397,0.13260607573693128,0.1083,4,Group proxy : Transmission
Indigenous:zoonotic,-0.09116022135858326,-0.7870665752254543,0.6047461325082878,0.7974,1,Group proxy : Transmission
Latinx:lice_flea,1.6473601997325935,0.9199692879378395,2.3747511115273476,0,2,Group proxy : Transmission
Latinx:mosquito,0.31506969142890634,0.039945680646308046,0.5901937022115047,0.0248,17,Group proxy : Transmission
Latinx:tick,-0.4116977002662209,-0.8270347507159714,0.0036393501835297326,0.052,22,Group proxy : Transmission
Latinx:zoonotic,0.35291893591936163,0.06740731374441922,0.638430558094304,0.0154,27,Group proxy : Transmission
Mixed_race:mosquito,0.575994582673589,0.3042281435515429,0.8477610217956353,0,3,Group proxy : Transmission
Mixed_race:tick,-0.5548895214947936,-0.9312664182083699,-0.17851262478121743,0.0039,10,Group proxy : Transmission
Mixed_race:zoonotic,0.5782143379293473,0.2781754984910174,0.8782531773676772,2e-4,12,Group proxy : Transmission
Unhoused:lice_flea,1.2257758308036215,0.4452185309659087,2.0063331306413343,0.0021,10,Group proxy : Transmission
Unhoused:mosquito,1.0933090176783329,0.21456296857263646,1.9720550667840293,0.0147,3,Group proxy : Transmission
Unhoused:tick,0.15426862389836193,-1.1067068790790038,1.4152441268757276,0.8105,3,Group proxy : Transmission
